time_s,VM,VLEAK,VREF
0.938363398,0.992779666,0.99277969,0.993377468
0.938373398,0.992779666,0.99277969,0.993377468
0.938383398,0.992779666,0.99277969,0.993377468
0.938393398,0.992779666,0.99277969,0.993377468
0.938403398,0.992779666,0.99277969,0.993377468
0.938413398,0.992779666,0.99277969,0.993377468
0.938423398,0.992779666,0.99277969,0.993377468
0.938433398,0.992779666,0.99277969,0.993377468
0.938443398,0.992779666,0.99277969,0.993377468
0.938453398,0.992779666,0.99277969,0.993377468
0.938463398,0.992779666,0.99277969,0.993377468
0.938473398,0.992779666,0.99277969,0.993377468
0.938483398,0.992779666,0.99277969,0.993377468
0.938493398,0.992779666,0.99277969,0.993377468
0.938503398,0.992779666,0.99277969,0.993377468
0.938513398,0.992779666,0.99277969,0.993377468
0.938523398,0.992779666,0.99277969,0.993377468
0.938533398,0.992779666,0.99277969,0.993377468
0.938543398,0.992779666,0.99277969,0.993377468
0.938553398,0.992779666,0.99277969,0.993377468
0.938563398,0.992779666,0.99277969,0.993377468
0.938573398,0.992779666,0.99277969,0.993377468
0.938583398,0.992779666,0.99277969,0.993377468
0.938593398,0.992779666,0.99277969,0.993377468
0.938603398,0.992779666,0.99277969,0.993377468
0.938613398,0.992779666,0.99277969,0.993377468
0.938623398,0.992779666,0.99277969,0.993377468
0.938633398,0.992779666,0.99277969,0.993377468
0.938643398,0.992779666,0.99277969,0.993377468
0.938653398,0.992779666,0.99277969,0.993377468
0.938663398,0.992779666,0.99277969,0.993377468
0.938673398,0.992779666,0.99277969,0.993377468
0.938683398,0.992779666,0.99277969,0.993377468
0.938693398,0.992779666,0.99277969,0.993377468
0.938703398,0.992779666,0.99277969,0.993377468
0.938713398,0.992779666,0.99277969,0.993377468
0.938723398,0.992779666,0.99277969,0.993377468
0.938733398,0.992779666,0.99277969,0.993377468
0.938743398,0.992779666,0.99277969,0.993377468
0.938753398,0.992779666,0.99277969,0.993377468
0.938763398,0.992779666,0.99277969,0.993377468
0.938773398,0.992779666,0.99277969,0.993377468
0.938783398,0.992779666,0.99277969,0.993377468
0.938793398,0.992779666,0.99277969,0.993377468
0.938803398,0.992779666,0.99277969,0.993377468
0.938813398,0.992779666,0.99277969,0.993377468
0.938823398,0.992779666,0.99277969,0.993377468
0.938833398,0.992779666,0.99277969,0.993377468
0.938843398,0.992779667,0.99277969,0.993377468
0.938853398,0.992779667,0.99277969,0.993377468
0.938863398,0.992779667,0.99277969,0.993377468
0.938873398,0.992779667,0.99277969,0.993377468
0.938883398,0.992779667,0.99277969,0.993377468
0.938893398,0.992779667,0.99277969,0.993377468
0.938903398,0.992779667,0.99277969,0.993377468
0.938913398,0.992779667,0.99277969,0.993377468
0.938923398,0.992779667,0.99277969,0.993377468
0.938933398,0.992779667,0.99277969,0.993377468
0.938943398,0.992779667,0.99277969,0.993377468
0.938953398,0.992779667,0.99277969,0.993377468
0.938963398,0.992779667,0.99277969,0.993377468
0.938973398,0.992779667,0.99277969,0.993377468
0.938983398,0.992779667,0.99277969,0.993377468
