 1.00052500e-06 -5.24007703e-06  1.00052500e-06 -5.31636973e-05  1.00052500e-06 -7.54471987e-08  1.00052500e-06 -1.99816500e-02  1.00052500e-06 -4.71296855e-04  1.00052500e-06 -3.29603574e-07  1.00052500e-06 -1.99024649e-09 
 1.00108500e-06 -5.24208752e-06  1.00108500e-06 -5.31914338e-05  1.00108500e-06 -7.53980292e-08  1.00108500e-06 -1.99816523e-02  1.00108500e-06 -4.71448541e-04  1.00108500e-06 -3.29784206e-07  1.00108500e-06 -1.99101028e-09 
 1.00220500e-06 -5.24610599e-06  1.00220500e-06 -5.32469026e-05  1.00220500e-06 -7.52997558e-08  1.00220500e-06 -1.99816570e-02  1.00220500e-06 -4.71751718e-04  1.00220500e-06 -3.30145333e-07  1.00220500e-06 -1.99253690e-09 
 1.00444500e-06 -5.25413283e-06  1.00444500e-06 -5.33578234e-05  1.00444500e-06 -7.51034879e-08  1.00444500e-06 -1.99816664e-02  1.00444500e-06 -4.72357296e-04  1.00444500e-06 -3.30867030e-07  1.00444500e-06 -1.99558632e-09 
 1.00892500e-06 -5.27014591e-06  1.00892500e-06 -5.35795981e-05  1.00892500e-06 -7.47120428e-08  1.00892500e-06 -1.99816852e-02  1.00892500e-06 -4.73565357e-04  1.00892500e-06 -3.32308187e-07  1.00892500e-06 -2.00166974e-09 
 1.01788500e-06 -5.30200861e-06  1.01788500e-06 -5.40228801e-05  1.01788500e-06 -7.39335704e-08  1.01788500e-06 -1.99817223e-02  1.01788500e-06 -4.75969175e-04  1.01788500e-06 -3.35181471e-07  1.01788500e-06 -2.01377450e-09 
 1.03580500e-06 -5.36507935e-06  1.03580500e-06 -5.49083751e-05  1.03580500e-06 -7.23944886e-08  1.03580500e-06 -1.99817955e-02  1.03580500e-06 -4.80728229e-04  1.03580500e-06 -3.40891308e-07  1.03580500e-06 -2.03773533e-09 
 1.07164500e-06 -5.48865872e-06  1.07164500e-06 -5.66750999e-05  1.07164500e-06 -6.93890030e-08  1.07164500e-06 -1.99819373e-02  1.07164500e-06 -4.90056861e-04  1.07164500e-06 -3.52159865e-07  1.07164500e-06 -2.08468361e-09 
 1.09261029e-06 -5.55940010e-06  1.09261029e-06 -5.77059476e-05  1.09261029e-06 -6.76762681e-08  1.09261029e-06 -1.99820177e-02  1.09261029e-06 -4.95398951e-04  1.09261029e-06 -3.58656500e-07  1.09261029e-06 -2.11155848e-09 
 1.10167895e-06 -5.58965173e-06  1.10167895e-06 -5.81512458e-05  1.10167895e-06 -6.69458604e-08  1.10167895e-06 -1.99820519e-02  1.10167895e-06 -4.97683822e-04  1.10167895e-06 -3.61444625e-07  1.10167895e-06 -2.12305116e-09 
 1.10604009e-06 -5.60412600e-06  1.10604009e-06 -5.83652614e-05  1.10604009e-06 -6.65968649e-08  1.10604009e-06 -1.99820682e-02  1.10604009e-06 -4.98777121e-04  1.10604009e-06 -3.62780657e-07  1.10604009e-06 -2.12854998e-09 
