time_s,VDD,V_Boost,VREF_2V048,VREF_1V024,Vm_Int,AP,Spike_Out
2.000035e-06,-7.52888347e-06,-0.000100520935,-2.14426557e-08,-0.0199841347,-0.000665031733,-5.62441608e-07,-2.85982736e-09
2.000105e-06,-7.52895128e-06,-0.000100524105,-2.14407336e-08,-0.0199841348,-0.000665041115,-5.62451125e-07,-2.8598531e-09
2.000245e-06,-7.52908685e-06,-0.000100530447,-2.14368914e-08,-0.0199841349,-0.000665059878,-5.62470156e-07,-2.85990462e-09
2.000525e-06,-7.52935785e-06,-0.000100543129,-2.14292069e-08,-0.0199841352,-0.000665097399,-5.62508203e-07,-2.86000762e-09
2.001085e-06,-7.5298992e-06,-0.000100568492,-2.14138449e-08,-0.0199841358,-0.00066517242,-5.62584251e-07,-2.86021335e-09
2.002205e-06,-7.53097938e-06,-0.000100619215,-2.13831584e-08,-0.0199841369,-0.000665322377,-5.62736152e-07,-2.86062386e-09
2.004445e-06,-7.5331296e-06,-0.000100720645,-2.13219131e-08,-0.0199841392,-0.000665621951,-5.63039183e-07,-2.86144101e-09
2.008925e-06,-7.53738953e-06,-0.000100923445,-2.1199952e-08,-0.0199841438,-0.000666219744,-5.63642156e-07,-2.86305993e-09
2.017885e-06,-7.54574727e-06,-0.000101328801,-2.09581117e-08,-0.0199841527,-0.000667409933,-5.64835738e-07,-2.86623618e-09
2.035805e-06,-7.56181415e-06,-0.000102138546,-2.04826485e-08,-0.01998417,-0.000669768895,-5.67173418e-07,-2.87234231e-09
2.071645e-06,-7.59135202e-06,-0.000103754166,-1.95636058e-08,-0.0199842018,-0.000674402549,-5.71650568e-07,-2.88356851e-09
2.143325e-06,-7.64003074e-06,-0.000106970003,-1.78456521e-08,-0.0199842551,-0.00068334354,-5.79810014e-07,-2.90207157e-09
2.286685e-06,-7.69570818e-06,-0.00011334064,-1.48372354e-08,-0.0199843196,-0.000700001033,-5.92934756e-07,-2.92324536e-09
2.52745281e-06,-7.66386106e-06,-0.000123859697,-1.08369473e-08,-0.019984302,-0.000724682236,-6.05330534e-07,-2.91118915e-09
2.7627264e-06,-7.48071093e-06,-0.000133924487,-7.94251598e-09,-0.0199841319,-0.000745277323,-6.05690756e-07,-2.84165877e-09
2.998e-06,-7.14724901e-06,-0.000143782019,-5.81015058e-09,-0.0199838109,-0.000762865668,-5.94372973e-07,-2.71503161e-09
2.99805e-06,-7.14716217e-06,-0.000143784092,-5.8097811e-09,-0.0199838108,-0.000762869086,-5.94369326e-07,-2.71499863e-09
2.99815e-06,-7.14698846e-06,-0.000143788237,-5.80903681e-09,-0.0199838106,-0.000762875922,-5.94362031e-07,-2.71493269e-09
2.998325e-06,-7.1466844e-06,-0.000143795492,-5.80773118e-09,-0.0199838103,-0.000762887885,-5.94349261e-07,-2.71481721e-09
2.9985e-06,-7.14638027e-06,-0.000143802747,-5.80642912e-09,-0.01998381,-0.000762899846,-5.94336484e-07,-2.7147017e-09
2.998535e-06,-7.14631943e-06,-0.000143804198,-5.80616799e-09,-0.01998381,-0.000762902238,-5.94333927e-07,-2.71467859e-09
2.998605e-06,-7.14619775e-06,-0.0001438071,-5.80564752e-09,-0.0199838099,-0.000762907021,-5.94328814e-07,-2.71463237e-09
2.998745e-06,-7.14595434e-06,-0.000143812904,-5.80460835e-09,-0.0199838096,-0.000762916588,-5.94318585e-07,-2.71453995e-09
